name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
福崎町青少年野外活動センター,兵庫県,,,15.1,3.6,4.4,7.8,13.3,18.4,22.4,26.3,27.4,23.5,17.5,11.3,5.8,https://www.town.fukusaki.hyogo.jp/0000000061.html,"https://www.google.com/maps?q=34.9968141,134.7249073"
大泊海水浴場キャンプ場,奈良県,,,16.8,6.8,8.0,10.7,15.1,19.0,22.1,25.7,27.0,24.2,19.5,14.4,9.2,,"https://www.google.com/maps?q=33.8991637,136.1175527"
cazu,埼玉県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.cazu.jp/,"https://www.google.com/maps?q=35.8502358,139.2021533"
ケーニーズ・ファミリー・ビレッジ,埼玉県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.kfv.co.jp/,"https://www.google.com/maps?q=35.8798639,139.1831861"
小梨平キャンプ場,富山県,,フリー,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.2505817,137.6403807"
山田大橋キャンプ場,埼玉県,,,14.7,3.4,4.5,8.0,13.3,18.1,21.4,25.4,26.4,22.6,16.9,11.1,5.9,www.akiruno.ne.jp/vsm/logvillage/,"https://www.google.com/maps?q=35.7223821,139.2555438"
子供の森,福島県,,,12.0,-0.3,0.1,3.7,10.1,16.2,20.5,24.0,25.2,20.8,14.1,7.4,2.2,,"https://www.google.com/maps?q=37.4803157,139.9478377"
女木島キャンプ場,香川県,,フリー,16.7,5.9,6.3,9.4,14.7,19.8,23.3,27.5,28.6,24.7,19.0,13.2,8.1,,"https://www.google.com/maps?q=34.3916518,134.0538251"
氷川キャンプ場,埼玉県,,,12.3,1.5,2.2,5.5,10.8,15.6,18.9,22.6,23.5,19.8,14.3,8.8,3.9,http://www.okutamas.co.jp/hikawa/,"https://www.google.com/maps?q=35.8069144,139.0995634"
中茶屋キャンプ場,埼玉県,,,12.3,1.5,2.2,5.5,10.8,15.6,18.9,22.6,23.5,19.8,14.3,8.8,3.9,http://www7a.biglobe.ne.jp/~nakachaya/,"https://www.google.com/maps?q=35.845646,139.1530378"
百軒茶屋キャンプ場,埼玉県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.hyakkenjaya.com/,"https://www.google.com/maps?q=35.8467632,139.1540816"
アメリカキャンプ村,埼玉県,,,12.3,1.5,2.2,5.5,10.8,15.6,18.9,22.6,23.5,19.8,14.3,8.8,3.9,http://www.アメリカキャンプ村.com/,"https://www.google.com/maps?q=35.8005281,139.1197828"
航空公園キャンプ場,北海道,,,5.8,-7.7,-7.1,-2.3,4.3,10.4,14.2,17.8,18.9,15.2,8.8,2.0,-4.8,,"https://www.google.com/maps?q=43.2384853,143.2747488"
湖山荘キャンプ場,山梨県,,,9.4,-2.4,-1.2,2.5,7.9,12.8,16.5,20.6,21.2,17.4,11.6,5.9,0.5,,"https://www.google.com/maps?q=35.412796,138.89252"
